"DATE","TIME","T_AIR","RH","DEW","BARO","WD","WS","RAIN","SOL","SOL_SUM"
"01/03/01","12:00", 22.3,42,  8.4, 951.5,096,  1.0,   0.0,0946,2949360
"01/03/01","13:00", 23.1,40,  8.4, 951.0,215,  0.9,   0.0,0800,3207480
"01/03/01","14:00", 23.9,41, 10.0, 950.6,360,  0.3,   0.0,0960,3514200
"01/03/01","15:00", 23.7,45, 11.7, 950.2,237,  1.5,   0.0,0870,3312240
"01/03/01","16:00", 22.5,82, 18.9, 950.3,213,  0.1,   0.0,0718,2866080
"01/03/01","17:00", 19.1,99, 18.4, 951.2,216,  1.4,   0.0,0064,1625640
"01/03/01","18:00", 16.9,99, 16.2, 952.4,304,  1.0,   0.0,0028,0170640
"01/03/01","19:00", 16.0,99, 15.6, 952.8,268,  0.1,   0.0,0000,0011640
"01/03/01","20:00", 15.3,99, 14.5, 953.1,220,  0.2,   0.0,0000,0000000
"01/03/01","21:00", 15.1,99, 14.5, 953.3,112,  0.4,   0.0,0000,0000000
"01/03/01","22:00", 14.6,99, 13.9, 953.4,238,  0.0,   0.0,0000,0000000
"01/03/01","23:00", 13.7,99, 13.4, 953.7,116,  1.4,   0.0,0000,0000000
"01/04/01","00:00", 12.5,99, 12.3, 954.3,103,  2.5,   0.0,0000,0000000
"01/04/01","01:00", 12.2,99, 12.3, 954.5,091,  2.4,   0.0,0000,0000000
"01/04/01","02:00", 11.5,99, 11.7, 954.7,111,  2.6,   0.0,0000,0000000
"01/04/01","03:00", 10.8,99, 10.6, 954.9,112,  2.4,   0.0,0000,0000000
"01/04/01","04:00", 10.2,99, 10.0, 955.1,089,  2.6,   0.0,0000,0000000
"01/04/01","05:00",  9.6,99,  9.5, 955.3,088,  2.1,   0.0,0000,0000000
"01/04/01","06:00",  9.1,99,  8.9, 955.4,092,  3.7,   0.0,0000,0000000
"01/04/01","07:00",  8.9,99,  8.9, 955.5,117,  2.8,   0.0,0000,0000000
"01/04/01","08:00", 10.5,96, 10.0, 955.5,097,  2.3,   0.0,0266,0113040
"01/04/01","09:00", 17.5,80, 13.4, 954.2,096,  0.4,   0.0,0504,1357800
"01/04/01","10:00", 20.1,70, 13.9, 952.9,272,  1.2,   0.0,0774,1969200
"01/04/01","11:00", 21.5,62, 13.9, 952.1,293,  2.0,   0.0,0920,2537880
"01/04/01","12:00", 22.9,68, 16.7, 951.6,352,  0.1,   0.0,0930,2868840
"01/04/01","13:00", 23.7,37,  8.4, 951.1,002,  0.7,   0.0,0982,3427440
"01/04/01","14:00", 24.4,37,  8.4, 950.5,132,  0.0,   0.0,0962,3550680
"01/04/01","15:00", 23.7,39,  8.9, 950.3,224,  0.4,   0.0,0886,3346320
"01/04/01","16:00", 21.2,95, 20.0, 950.5,004,  3.2,   0.0,0712,2879280
"01/04/01","17:00", 18.8,99, 18.4, 951.2,351,  0.5,   0.0,0128,1909560
"01/04/01","18:00", 16.9,99, 16.2, 952.2,038,  0.0,   0.0,0002,0301320
"01/04/01","19:00", 15.2,99, 14.5, 952.9,211,  1.1,   0.0,0000,0004800
"01/04/01","20:00", 14.4,99, 13.9, 953.3,037,  0.6,   0.0,0000,0000000
"01/04/01","21:00", 14.0,99, 13.4, 953.8,115,  1.0,   0.0,0000,0000000
"01/04/01","22:00", 13.0,99, 12.3, 954.1,099,  2.0,   0.0,0000,0000240
"01/04/01","23:00", 13.5,99, 12.8, 953.9,072,  0.8,   0.0,0000,0000360
"01/05/01","00:00", 13.6,99, 12.8, 953.9,100,  1.6,   0.0,0000,0000000
"01/05/01","01:00", 13.5,99, 12.8, 954.0,212,  0.1,   0.0,0000,0000120
"01/05/01","02:00", 13.1,99, 12.8, 954.0,100,  1.0,   0.0,0000,0000480
"01/05/01","03:00", 11.9,99, 11.7, 954.3,097,  2.2,   0.0,0000,0000000
